Question,Expected Answer,Chatbot Answer,BERT Score,ROUGE Score,Semantic Similarity
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,An accessory organ is a term used to describe a lump of tissue that is adjacent to an organ but serves no important purpose and may cause problems if it grows too large or becomes cancerous.,0.869700193405151,0.675652134493723,0.5800936
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.",An accessory organ can become harmful if it grows too large or becomes cancerous.,0.898915886878967,0.695652173913043,0.50945055
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening.",0.951864778995514,0.714285714285714,0.81365
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","In medical terms, a calculus refers to any type of hard concretion found in the body, usually formed by the accumulation of excess mineral salts and other organic material such as blood or mucous.",0.815467357635498,0.36734693877551,0.26700634
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi form when excess minerals in the body accumulate, forming small knots or balls within organs, such as the gallbladder, pancreas, and kidneys.",0.782842576503754,0.222222222222222,0.3830859
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhotic disease of the liver, where there is impaired or reversed blood flow from the portal vein to the liver, resulting in an enlarged spleen, dilated veins in the esophagus and stomach, and possible complications such as portal hypertension, portal vein thrombosis, embolism, and infarction.",0.784849405288696,0.09375,0.53092515
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera (an increase in the number of red blood cells), sickle cell disease, liver cancer, certain infections, use of oral contraceptives, body changes in pregnancy and the postpartum period, phlebitis (inflammation of a vein), injury to the abdomen, and membranous webs (especially in Asia).",0.835555195808411,0.212121212121212,0.36040244
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The function of the common bile duct is to collect and transport bile from the liver and gallbladder to the small intestine for digestion.,0.918677687644959,0.611111111111111,0.7440057
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is an imaging test that uses X-rays to create detailed cross-sectional images of the body.,0.858731210231781,0.324324324324324,0.51317894
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose a variety of medical conditions including AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of muscles in AIDS patients, in addition to detecting other conditions such as pneumonia and abscesses.",0.768620133399963,0.115384615384615,0.36608696
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target. If the object is moving toward the source, the frequency increases; if it's moving away, the frequency decreases.",0.852344870567322,0.444444444444444,0.6230941
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"
The Doppler effect applies in medicine for various diagnostic uses. For example, it can be used to determine the speed of blood flow through vessels, which can help diagnose conditions like atherosclerosis (the buildup of plaque in arteries). It can also be used to detect abnormal heart rhythms, such as atrial fibrillation. Additionally, it can provide information on lung function and can help diagnose pulmonary embolism.",0.812707901000977,0.16,0.60601205
What is sound frequency?,The number of vibrations per second of a sound wave.,"Sound frequency is the number of vibrations per second in a substance, including objects like air molecules, that are capable of producing sound waves.",0.854076564311981,0.529411764705882,0.71531165
How does frequency affect sound?,Higher frequency results in a higher pitch.,"The frequency of sound refers to how many vibrations per second there are within a given range of pitches.  Whenever this topic comes up in human biomedical engineering, it is important to distinguish between ionizing radiation (which can alter the molecular structure of living cells) and non-ionizing radiation (like sound). The latter does not have that capability because it does not affect the molecular structure of matter. 
The frequency of sound does not directly affect the speed of an object, but rather how many vibrations per second there are within a given range of pitches.",0.695916771888733,0.0776699029126214,0.46804026
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of electromagnetic radiation that has enough energy to ionize atoms, which means they can remove or add electrons to create ions. This includes X-rays, gamma rays, and beta rays.",0.743375301361084,0.12,0.50241387
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are all potentially ionizing types of radiation.",0.896418392658234,0.476190476190476,0.7594757
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.","Jaundice is a condition that affects the liver and causes yellowing of the skin and eyes, often resulting from a blockage in the bile ducts.",0.855725228786469,0.363636363636364,0.717995
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.",Jaundice is caused by excessive accumulation of bilirubin in the bloodstream.,0.740697681903839,0.190476190476191,0.3950738
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.821627914905548,0.333333333333333,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the form or structure of body parts, organs, or organ systems. It can help diagnose medical conditions by analyzing their shape, size, and structure.",0.843404352664948,0.347826086956522,0.5937486
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a term used to describe an organ that is similar in structure or function to another organ but does not have any important functions. It may cause problems if it grows too large or becomes cancerous, and its presence can point to underlying abnormality of the parent organ.",0.810738205909729,0.264705882352941,0.4345898
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","The information states that while an accessory organ is not necessarily harmful in and of itself, it can cause problems if it grows too large or becomes cancerous. Therefore, an accessory organ can become harmful if it grows to a size that is abnormal for the individual.",0.827685534954071,0.285714285714286,0.4322289
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening.",0.951864778995514,0.714285714285714,0.81365
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucus.",0.869099497795105,0.421052631578947,0.52125376
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi form when excess minerals in the body accumu-
late, which may result from either over production
of these minerals or an abnormal decrease in the
body's ability to utilize them normally. These extra
minerals can accumulate in various organs and tis-
sues of the body, including the gallbladder, pancreas,
kidneys, and other sites.",0.782399952411652,0.176470588235294,0.42997476
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition characterized by an accumulation of excessive scar tissue in liver cells, leading to impaired or reversed blood flow from the portal vein to the liver, enlargement of the spleen, dilated veins in the esophagus and stomach, and possible complications such as portal hypertension, embolism, and fibrosis.
It is a condition caused by cirrhosis of the liver.",0.811711668968201,0.136986301369863,0.5803045
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Cirrhosis is caused by a variety of factors, including alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera (an increase in red blood cells), sickle cell disease, liver cancer, certain infections, oral contraceptives, body changes in pregnancy and the postpartum period, phlebitis (inflammation of a vein), injury to the abdomen, and membranous webs (especially in Asia).",0.834134817123413,0.215384615384615,0.38447106
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,"The function of the common bile duct is to collect and transport bile from the liver, gallbladder, and pancreas into the small intestine for digestion.",0.905669748783112,0.486486486486487,0.74390477
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,"A CT (computed tomography) scan is an imaging test that uses X-rays to produce detailed pictures of the inside of the body. It is used to diagnose a wide range of conditions, including cancer, damage to the central nervous system, and infections.",0.805290102958679,0.206896551724138,0.46874446
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","
CT scans (tomography scans) are used to diagnose a variety of conditions, including AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of muscles. Urine and stool samples are also used to diagnose infections caused by parasites.",0.770674407482147,0.115384615384615,0.41926694
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target. If the object is moving toward the source, the frequency increases; if the object is moving away, the frequency decreases.",0.855866134166718,0.436363636363636,0.63629365
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect has been used in medicine for many
years, since as early as 1920, to assess blood flow
in arteries and veins. For example, using a doppler
shift, healthcare providers can evaluate the extent of
blockages in arteries, such as those that cause heart
disease, or they can monitor the flow of blood in the
brain to diagnose conditions like stroke. The Doppler
effect has also been used to assess lung function and
monitor for pulmonary fibrosis, a condition where the
lungs become scarred.  In addition, dopplers can be",0.794240891933441,0.12,0.5855577
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,"Frequency can affect sound waves in various ways, such as:
1. Changing the pitch of the sound: As frequency increases, the pitch of the sound also increases.
2. Modulating the volume of the sound: Frequency can be used to modulate the volume of a sound by adjusting the amplitude of the vibrations.",0.745916545391083,0.101694915254237,0.5440686
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms, which means breaking apart molecules at the atomic level. Examples of ionizing radiation include gamma rays, X rays, and beta rays.",0.782360792160034,0.2,0.5622721
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Ionizing radiation is radiation that can damage living tissue by disrupting and destroying individual cells at the molecular level. All types of nuclear radiation, including x rays, gamma rays, and beta rays, are potentially ionizing. Non-ionizing radiation, such as sound waves, does not have this capability.",0.798526525497437,0.259259259259259,0.5468049
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundise (Yellowish discoloration of the skin &/or mucus membranes),0.781449496746063,0.142857142857143,0.52770317
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Jaundice is caused by a viral infection that affects the liver.

So the user asked ""What causes jaundice?"" and you provided an answer stating that jaundice is caused by a viral infection that affects the liver.",0.711418390274048,0.0869565217391305,0.2885294
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.821627914905548,0.333333333333333,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the size, shape, and structure of organs and body parts. It is used as a diagnostic tool to recognize abnormalities in the form of symptoms of underlying conditions.",0.830581068992615,0.4,0.6104967
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a lump of tissue adjacent to an organ that is similar to it, but which serves no important purpose, if functional at all.",0.920389175415039,0.744186046511628,0.61353827
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.",An accessory organ can become harmful if it grows too large or becomes cancerous.,0.898915886878967,0.695652173913043,0.50945055
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening. In other words, it is not cancerous or malignant.",0.918466627597809,0.54054054054054,0.66843563
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","In medical terms, a calculus refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. It's formed by the accumulation of excess mineral salts and other organic material such as blood or mucous.",0.873086154460907,0.456140350877193,0.42137206
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi in the body are formed through a process called
calcium stone formation, which involves the accumula-
tion of excess mineral salts and other organic mate-
rial such as blood or mucous in the gallbladder,
pancreas, and kidneys.",0.821934163570404,0.352941176470588,0.43287927
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.
It is associated with portal hypertension, which can lead to complications such as embolism, and the possible complications involved, and asked to sign an informed consent form.",0.787321746349335,0.133333333333333,0.5001187
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Cirrhosis is caused by various factors, including alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.90669846534729,0.695652173913044,0.55320626
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The function of the common bile duct is to collect and transport bile from the liver and gallbladder to the small intestine for digestion.,0.918677687644959,0.611111111111111,0.7440057
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is an imaging test that uses X-rays to create detailed cross-sectional pictures of the body.,0.856464266777039,0.27027027027027,0.51363355
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose a wide range of conditions, including AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of muscles.",0.777991533279419,0.157894736842105,0.38118643
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target. If the object is moving toward the source, the frequency increases; if the object is moving away, the frequency decreases.",0.855866134166718,0.436363636363636,0.63629365
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"
The Doppler effect has several applications in medi-
cine, particularly those related to cardiovascu-
lar imaging. For example, the Doppler effect can be
used to evaluate blood flow in arteries and veins by
measuring the frequency shift of sound waves as they
bounce off moving blood cells. This information can
be used to diagnose conditions such as atherosclerosis
or occlusion. Another important use for Doppler
effect is to detect abnormal flow in blood vessels,
which can indicate various cardiovascular diseases.",0.805815637111664,0.134831460674157,0.537885
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,"Frequency of a sound affects its pitch, with higher fre-
quencies resulting in higher pitches and lower fre-
quencies resulting in lower pitches.",0.831816613674164,0.333333333333333,0.79727775
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of electromagnetic radiation that has sufficient energy to ionize atoms, which means they have enough energy to remove an electron from an atom. In other words, it can cause molecular damage to living tissue by disrupting and destroying individual cells at the molecular level. 
Therefore, it can cause permanent DNA damage.
Types of nuclear radiation: X-rays, gamma rays, and beta rays are examples of ionizing radiation that are capable of damaging living tissue.",0.833910465240479,0.297872340425532,0.77299535
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are all potentially ionizing forms of radiation.",0.896854758262634,0.476190476190476,0.7769213
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is yellowing of the skin and whites of the eyes due to an excess of bilirubin in the blood.,0.832233548164368,0.307692307692308,0.66029406
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Causes of jaundice are unclear and likely vary from individual to individual, however some of the most common causes of jaundice include alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.752304673194885,0.15,0.3407452
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.821627914905548,0.333333333333333,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the size, shape, and structure of organs and body parts. It is used as a diagnostic tool to identify abnormalities in the form and function of body parts and organs.",0.847136199474335,0.423076923076923,0.63364184
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a lump of tissue adjacent to an organ that is similar to it but serves no important purpose if functional at all. While not necessarily harmful, such organs can cause problems if they grow too large or become cancerous. In any case, their presence points to an underlying abnormality in the parent organ.",0.869382381439209,0.438356164383562,0.5845014
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","If the accessory organ becomes enlarged or cancerous, it can cause problems for the parent organ, even though they may not necessarily be harmful on their own.",0.812457382678986,0.166666666666667,0.48419172
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening. In other words, it is not cancerous or malignant.",0.918466627597809,0.54054054054054,0.66843563
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","In medical terms, a calculus refers to any type of hard concretion found in the body, usually located in the gallbladder, pancreas, or kidneys. These calculi are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucous.

Thank you for asking!",0.861592233181,0.412698412698413,0.41592368
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi form when excess minerals in the body accumulate
and deposit outside of their normal range. For exam-
ple, kidney stones are formed when there is an abun-
dance of minerals such as calcium, oxalate and
phosphate that cannot be properly metabolized by
the body. The excess minerals settle to form the calcified deposit
within a structure, most commonly the kidney or biliary tree,
and can cause obstruction or damage to the organ.",0.776855111122131,0.186046511627907,0.48690927
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach. It is associated with portal hypertension.
Please note that I don't know the answer to the user's question regarding the possible complications involved in cirrhosis, as well as the specific information requested in the informed consent form.",0.766086459159851,0.114942528735632,0.4885933
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","The most common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.914443671703339,0.695652173913044,0.48307338
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct functions as a passageway for the bile to empty from the liver into the small intestine.,0.876286864280701,0.4375,0.7357596
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,"A CT (computed tomography) scan is a diagnostic imaging test that uses X-rays and computers to create detailed images of organs, tissues, and structures within the body. It can be used to diagnose a wide range of conditions, including cancer, damage to the central nervous system, infections, and wasting of muscles.",0.803474545478821,0.208955223880597,0.46701005
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.",0.778762519359589,0.181818181818182,0.40690196
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"
The Doppler effect is a change in frequency, caused by the motion of an object, that can be used to determine the speed of an object moving relative to the observer.",0.820882797241211,0.27906976744186,0.48149478
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"• If there’s anything I know that answers the question, I will provide it here.
• If I don't know the answer to a question, I will say so directly and not try to make something up.",0.656415045261383,0.0869565217391304,-0.008804776
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.824916005134583,0.285714285714286,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any form of electromagnetic radiation that can potentially disrupt individual molecules, such as x-rays, gamma rays, and beta rays. These forms of radiation are considered ionizing because they have enough energy to ionize atoms, which means they can break apart the atoms' molecular bonds and cause damage to living tissue.",0.800181567668915,0.202898550724638,0.67354107
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms, which means breaking down the atoms into ions. Within the audible range, frequency means pitch—the higher the frequency, the higher a sound's pitch. Types of nuclear radiation include X rays, gamma rays, and beta rays. All three types are potentially ionizing.",0.772426426410675,0.215384615384615,0.51058114
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is a yellow discoloration of the skin and/or eyes caused by an excess of bilirubin in the bloodstream.,0.819626331329346,0.256410256410256,0.6548788
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Causes of jaundice are a direct result of liver problems, including cirrhosis and other diseases that affect the organ. It can also be caused by an infection or viral disease.",0.788700342178345,0.2,0.46647465
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.821627914905548,0.333333333333333,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of form or structure of body parts, organs, or tissues. It involves the examination of size, shape, and structure rather than function of these body parts, organs, or tissues. In medical imaging, morphology is used to recognize abnormal formations or structures in the body that may indicate underlying conditions or diseases.

Therefore, as a diagnostic imaging technique, ultrasound facilitates the recognition of abnormal morphologies as symptoms of underlying conditions.",0.809358060359955,0.244444444444444,0.5495946
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a lump of tissue adjacent to an organ that serves no important purpose but can potentially grow too large and cause problems if it does, or become cancerous.",0.869459927082062,0.541666666666667,0.58773494
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","An accessory organ can potentially cause problems if it grows too large or becomes cancerous, and such issues might result in significant consequences if they grow excessively or become malignant.",0.857086002826691,0.41025641025641,0.42270845
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means the abnormal growth is stable, treatable, and generally not life-threatening, just not critical in its progress or outcome. It is the opposite of malignant which means cancerous or potentially dangerous.",0.89736944437027,0.425531914893617,0.702816
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucus.",0.869099497795105,0.421052631578947,0.52125376
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi can form through several different processes.
1. Excess mineral salts in the body can accumulate
in the gallbladder, pancreas, or kidneys, causing
them to form calculi.
2. Calculi can also form from blood within the
body. The excess of red cells that are produced in
the bone marrow can collect and form a calculus in
some areas of the body such as the liver, spleen, or
lungs.
3. Mucous accumulation within the body can also
cause calculi to form. Mucous is a sticky substance
that lines the interior surfaces of the body's organs
and passages and collects dust particles and other
debris. When mucous accumulates in large amounts, it
can form calculi.",0.761290788650513,0.0944881889763779,0.421985
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrification of the liver, which includes portal hypertension, an enlarged spleen, dilated veins in the esophagus and stomach, and portal vein thrombosis.",0.795352578163147,0.146341463414634,0.56244344
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Cirrhosis is caused by various factors, including alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera (an increase in red blood cells), sickle cell disease, liver cancer, and certain infections.",0.865978598594666,0.358974358974359,0.45062432
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct is a passage for the bile to leave the liver and enter the small intestine.,0.871698141098022,0.451612903225807,0.7145591
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is an imaging test that uses X-rays to make detailed pictures inside the body.,0.840426623821259,0.228571428571429,0.50314486
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.
They are also used to diagnose infections caused by parasites in urine and stool samples.",0.770334780216217,0.125,0.4190585
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target.,0.889403760433197,0.628571428571429,0.690993
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect has been used in medicine for many years to noninvasively assess blood flow in vessels, particularly in the brain, neck, and chest. It is a valuable tool for diagnosing and monitoring various conditions such as stroke, tumors, and heart disease.",0.818893492221832,0.153846153846154,0.59484214
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.824916005134583,0.285714285714286,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms or molecules, meaning it can break apart their atoms or molecules.",0.77819550037384,0.15,0.5842638
